experiment,nodes,size,ranks,iteration,average_latency_us
bare-metal-with-usernetes,32,262144.0,512.0,10.5,552.6239999999999
bare-metal-with-usernetes,32,524288.0,512.0,10.5,779.1969999999999
bare-metal-with-usernetes,32,1048576.0,512.0,10.5,1216.6265
container,4,4.0,64.0,10.5,32.837
container,4,8.0,64.0,10.5,32.7625
container,4,16.0,64.0,10.5,32.4185
container,4,32.0,64.0,10.5,32.539500000000004
container,4,64.0,64.0,10.5,32.73800000000001
container,4,128.0,64.0,10.5,33.12950000000001
container,4,256.0,64.0,10.5,34.320499999999996
container,4,512.0,64.0,10.5,34.24
container,4,1024.0,64.0,10.5,35.864
container,4,2048.0,64.0,10.5,37.541
container,4,4096.0,64.0,10.5,62.890499999999996
container,4,8192.0,64.0,10.5,88.48100000000001
container,4,16384.0,64.0,10.5,109.25949999999997
container,4,32768.0,64.0,10.5,149.04500000000002
container,4,65536.0,64.0,10.5,230.23649999999998
container,4,131072.0,64.0,10.5,450.23
container,4,262144.0,64.0,10.5,250.89450000000002
container,4,524288.0,64.0,10.5,405.4934999999999
container,4,1048576.0,64.0,10.5,709.1984999999999
container,8,4.0,128.0,10.5,84.66000000000001
container,8,8.0,128.0,10.5,84.634
container,8,16.0,128.0,10.5,85.20699999999998
container,8,32.0,128.0,10.5,85.1695
container,8,64.0,128.0,10.5,85.40199999999999
container,8,128.0,128.0,10.5,85.4395
container,8,256.0,128.0,10.5,87.011
container,8,512.0,128.0,10.5,87.85149999999999
container,8,1024.0,128.0,10.5,89.9995
container,8,2048.0,128.0,10.5,93.7405
container,8,4096.0,128.0,10.5,105.082
container,8,8192.0,128.0,10.5,132.137
container,8,16384.0,128.0,10.5,153.01399999999998
container,8,32768.0,128.0,10.5,209.4955
container,8,65536.0,128.0,10.5,257.11600000000004
container,8,131072.0,128.0,10.5,618.8884999999999
container,8,262144.0,128.0,10.5,305.2305
container,8,524288.0,128.0,10.5,481.32400000000007
container,8,1048576.0,128.0,10.5,802.165
container,16,4.0,256.0,10.5,91.2595
container,16,8.0,256.0,10.5,90.98249999999999
container,16,16.0,256.0,10.5,91.5505
container,16,32.0,256.0,10.5,90.64750000000001
container,16,64.0,256.0,10.5,91.083
container,16,128.0,256.0,10.5,91.286
container,16,256.0,256.0,10.5,93.69149999999999
container,16,512.0,256.0,10.5,94.694
container,16,1024.0,256.0,10.5,96.97500000000002
container,16,2048.0,256.0,10.5,100.66650000000001
container,16,4096.0,256.0,10.5,142.3745
container,16,8192.0,256.0,10.5,140.8675
container,16,16384.0,256.0,10.5,156.08149999999995
container,16,32768.0,256.0,10.5,165.876
container,16,65536.0,256.0,10.5,190.733
container,16,131072.0,256.0,10.5,243.07599999999994
container,16,262144.0,256.0,10.5,337.61999999999995
container,16,524288.0,256.0,10.5,519.303
container,16,1048576.0,256.0,10.5,890.466
container,32,4.0,512.0,10.5,106.77200000000002
container,32,8.0,512.0,10.5,106.838
container,32,16.0,512.0,10.5,106.03349999999998
container,32,32.0,512.0,10.5,105.88699999999999
container,32,64.0,512.0,10.5,106.45149999999998
container,32,128.0,512.0,10.5,108.391
container,32,256.0,512.0,10.5,109.11250000000003
container,32,512.0,512.0,10.5,110.32150000000001
container,32,1024.0,512.0,10.5,114.4355
container,32,2048.0,512.0,10.5,102.013
container,32,4096.0,512.0,10.5,159.7555
container,32,8192.0,512.0,10.5,194.959
container,32,16384.0,512.0,10.5,212.628
container,32,32768.0,512.0,10.5,211.85899999999998
container,32,65536.0,512.0,10.5,231.65699999999998
container,32,131072.0,512.0,10.5,293.6795
container,32,262144.0,512.0,10.5,385.2655
container,32,524288.0,512.0,10.5,559.7729999999999
container,32,1048576.0,512.0,10.5,917.6784999999998
container-with-usernetes,4,4.0,64.0,10.5,34.802
container-with-usernetes,4,8.0,64.0,10.5,35.56999999999999
container-with-usernetes,4,16.0,64.0,10.5,35.278
container-with-usernetes,4,32.0,64.0,10.5,34.648999999999994
container-with-usernetes,4,64.0,64.0,10.5,37.28699999999999
container-with-usernetes,4,128.0,64.0,10.5,35.157
container-with-usernetes,4,256.0,64.0,10.5,36.0835
container-with-usernetes,4,512.0,64.0,10.5,36.2045
container-with-usernetes,4,1024.0,64.0,10.5,38.592499999999994
container-with-usernetes,4,2048.0,64.0,10.5,40.066500000000005
container-with-usernetes,4,4096.0,64.0,10.5,66.291
container-with-usernetes,4,8192.0,64.0,10.5,91.559
container-with-usernetes,4,16384.0,64.0,10.5,112.67800000000003
container-with-usernetes,4,32768.0,64.0,10.5,154.997
container-with-usernetes,4,65536.0,64.0,10.5,238.14849999999996
container-with-usernetes,4,131072.0,64.0,10.5,459.418
container-with-usernetes,4,262144.0,64.0,10.5,263.827
container-with-usernetes,4,524288.0,64.0,10.5,430.29400000000004
container-with-usernetes,4,1048576.0,64.0,10.5,758.3655000000001
container-with-usernetes,8,4.0,128.0,10.5,89.482
container-with-usernetes,8,8.0,128.0,10.5,91.81649999999999
container-with-usernetes,8,16.0,128.0,10.5,91.5745
container-with-usernetes,8,32.0,128.0,10.5,92.20799999999998
container-with-usernetes,8,64.0,128.0,10.5,92.24450000000002
container-with-usernetes,8,128.0,128.0,10.5,91.872
container-with-usernetes,8,256.0,128.0,10.5,95.60599999999998
container-with-usernetes,8,512.0,128.0,10.5,92.97800000000001
container-with-usernetes,8,1024.0,128.0,10.5,96.6045
container-with-usernetes,8,2048.0,128.0,10.5,101.15
container-with-usernetes,8,4096.0,128.0,10.5,110.63900000000001
container-with-usernetes,8,8192.0,128.0,10.5,140.637
container-with-usernetes,8,16384.0,128.0,10.5,163.51000000000002
container-with-usernetes,8,32768.0,128.0,10.5,224.5555
container-with-usernetes,8,65536.0,128.0,10.5,268.42100000000005
container-with-usernetes,8,131072.0,128.0,10.5,646.9099999999999
container-with-usernetes,8,262144.0,128.0,10.5,330.72700000000003
container-with-usernetes,8,524288.0,128.0,10.5,527.5029999999999
container-with-usernetes,8,1048576.0,128.0,10.5,894.8729999999999
container-with-usernetes,16,4.0,256.0,10.5,104.559
container-with-usernetes,16,8.0,256.0,10.5,110.50450000000001
