,ranks,experiment,iteration,size,average_latency_us,nodes
319,2,usernetes,12,1048576.0,23564.64,2
320,2,usernetes,12,2097152.0,23911.67,2
321,2,usernetes,12,4194304.0,24152.98,2
322,2,usernetes,15,1.0,1.34,2
323,2,usernetes,15,2.0,2.78,2
324,2,usernetes,15,4.0,5.69,2
325,2,usernetes,15,8.0,11.31,2
326,2,usernetes,15,16.0,22.64,2
327,2,usernetes,15,32.0,45.59,2
328,2,usernetes,15,64.0,84.55,2
329,2,usernetes,15,128.0,168.64,2
330,2,usernetes,15,256.0,333.94,2
331,2,usernetes,15,512.0,659.43,2
332,2,usernetes,15,1024.0,1236.64,2
333,2,usernetes,15,2048.0,2137.45,2
334,2,usernetes,15,4096.0,3649.07,2
335,2,usernetes,15,8192.0,6194.8,2
336,2,usernetes,15,16384.0,7804.48,2
337,2,usernetes,15,32768.0,9494.4,2
338,2,usernetes,15,65536.0,11258.0,2
339,2,usernetes,15,131072.0,13441.1,2
340,2,usernetes,15,262144.0,13765.67,2
341,2,usernetes,15,524288.0,13935.76,2
342,2,usernetes,15,1048576.0,23420.8,2
343,2,usernetes,15,2097152.0,23839.61,2
344,2,usernetes,15,4194304.0,24121.86,2
345,2,usernetes,16,1.0,1.36,2
346,2,usernetes,16,2.0,2.79,2
347,2,usernetes,16,4.0,5.67,2
348,2,usernetes,16,8.0,11.31,2
349,2,usernetes,16,16.0,22.79,2
350,2,usernetes,16,32.0,45.45,2
351,2,usernetes,16,64.0,84.53,2
352,2,usernetes,16,128.0,168.95,2
353,2,usernetes,16,256.0,333.81,2
354,2,usernetes,16,512.0,659.14,2
355,2,usernetes,16,1024.0,1224.13,2
356,2,usernetes,16,2048.0,2151.53,2
357,2,usernetes,16,4096.0,3668.5,2
358,2,usernetes,16,8192.0,6148.73,2
359,2,usernetes,16,16384.0,7811.63,2
360,2,usernetes,16,32768.0,9537.3,2
361,2,usernetes,16,65536.0,11163.27,2
362,2,usernetes,16,131072.0,13340.91,2
363,2,usernetes,16,262144.0,13752.4,2
364,2,usernetes,16,524288.0,13925.01,2
365,2,usernetes,16,1048576.0,23381.41,2
366,2,usernetes,16,2097152.0,23828.42,2
367,2,usernetes,16,4194304.0,24126.88,2
368,2,usernetes,4,1.0,1.3,2
369,2,usernetes,4,2.0,2.81,2
370,2,usernetes,4,4.0,5.73,2
371,2,usernetes,4,8.0,11.42,2
372,2,usernetes,4,16.0,22.87,2
373,2,usernetes,4,32.0,45.97,2
374,2,usernetes,4,64.0,85.2,2
375,2,usernetes,4,128.0,170.01,2
376,2,usernetes,4,256.0,336.83,2
377,2,usernetes,4,512.0,659.81,2
378,2,usernetes,4,1024.0,1251.99,2
379,2,usernetes,4,2048.0,2160.25,2
380,2,usernetes,4,4096.0,3671.63,2
381,2,usernetes,4,8192.0,6165.81,2
382,2,usernetes,4,16384.0,7747.79,2
383,2,usernetes,4,32768.0,9468.5,2
384,2,usernetes,4,65536.0,10590.43,2
385,2,usernetes,4,131072.0,13384.92,2
386,2,usernetes,4,262144.0,13739.31,2
387,2,usernetes,4,524288.0,13931.77,2
388,2,usernetes,4,1048576.0,23407.45,2
389,2,usernetes,4,2097152.0,23793.62,2
390,2,usernetes,4,4194304.0,24117.86,2
391,2,usernetes,17,1.0,1.37,2
392,2,usernetes,17,2.0,2.83,2
393,2,usernetes,17,4.0,5.75,2
394,2,usernetes,17,8.0,11.44,2
395,2,usernetes,17,16.0,22.88,2
396,2,usernetes,17,32.0,45.54,2
397,2,usernetes,17,64.0,85.34,2
398,2,usernetes,17,128.0,169.81,2
399,2,usernetes,17,256.0,339.52,2
400,2,usernetes,17,512.0,662.19,2
401,2,usernetes,17,1024.0,1246.46,2
402,2,usernetes,17,2048.0,2149.5,2
403,2,usernetes,17,4096.0,3762.16,2
404,2,usernetes,17,8192.0,6170.3,2
405,2,usernetes,17,16384.0,7791.02,2
406,2,usernetes,17,32768.0,9886.43,2
407,2,usernetes,17,65536.0,11149.0,2
408,2,usernetes,17,131072.0,13427.09,2
409,2,usernetes,17,262144.0,13789.87,2
410,2,usernetes,17,524288.0,13949.18,2
411,2,usernetes,17,1048576.0,23391.69,2
412,2,usernetes,17,2097152.0,23799.24,2
413,2,usernetes,17,4194304.0,24130.37,2
414,2,usernetes,2,1.0,1.33,2
415,2,usernetes,2,2.0,2.8,2
416,2,usernetes,2,4.0,5.69,2
417,2,usernetes,2,8.0,11.33,2
418,2,usernetes,2,16.0,22.82,2
419,2,usernetes,2,32.0,45.48,2
420,2,usernetes,2,64.0,84.75,2
421,2,usernetes,2,128.0,168.95,2
422,2,usernetes,2,256.0,336.19,2
423,2,usernetes,2,512.0,657.9,2
424,2,usernetes,2,1024.0,1241.07,2
425,2,usernetes,2,2048.0,2152.3,2
426,2,usernetes,2,4096.0,3691.01,2
427,2,usernetes,2,8192.0,6187.37,2
428,2,usernetes,2,16384.0,7879.21,2
429,2,usernetes,2,32768.0,9807.16,2
430,2,usernetes,2,65536.0,11150.16,2
431,2,usernetes,2,131072.0,13374.75,2
432,2,usernetes,2,262144.0,13727.18,2
433,2,usernetes,2,524288.0,14016.1,2
434,2,usernetes,2,1048576.0,23371.67,2
435,2,usernetes,2,2097152.0,23753.92,2
436,2,usernetes,2,4194304.0,24132.92,2
437,2,usernetes,1,1.0,1.31,2
438,2,usernetes,1,2.0,2.81,2
439,2,usernetes,1,4.0,5.7,2
440,2,usernetes,1,8.0,11.33,2
441,2,usernetes,1,16.0,22.81,2
442,2,usernetes,1,32.0,45.58,2
443,2,usernetes,1,64.0,84.41,2
444,2,usernetes,1,128.0,167.94,2
445,2,usernetes,1,256.0,333.36,2
446,2,usernetes,1,512.0,656.41,2
447,2,usernetes,1,1024.0,1242.36,2
448,2,usernetes,1,2048.0,2142.79,2
449,2,usernetes,1,4096.0,3717.71,2
450,2,usernetes,1,8192.0,6155.76,2
451,2,usernetes,1,16384.0,7808.08,2
452,2,usernetes,1,32768.0,9489.65,2
453,2,usernetes,1,65536.0,10711.73,2
454,2,usernetes,1,131072.0,13402.72,2
455,2,usernetes,1,262144.0,13683.29,2
456,2,usernetes,1,524288.0,13903.28,2
457,2,usernetes,1,1048576.0,23379.07,2
458,2,usernetes,1,2097152.0,23820.36,2
459,2,usernetes,1,4194304.0,24105.57,2
