,ranks,experiment,iteration,size,average_latency_us,nodes
365,2,bare-metal,10,16.0,7.78,2
366,2,bare-metal,10,32.0,7.78,2
367,2,bare-metal,10,64.0,7.89,2
368,2,bare-metal,10,128.0,7.91,2
369,2,bare-metal,10,256.0,7.92,2
370,2,bare-metal,10,512.0,7.96,2
371,2,bare-metal,10,1024.0,8.07,2
372,2,bare-metal,10,2048.0,8.33,2
373,2,bare-metal,10,4096.0,8.74,2
374,2,bare-metal,10,8192.0,9.59,2
375,2,bare-metal,10,16384.0,10.18,2
376,2,bare-metal,10,32768.0,11.32,2
377,2,bare-metal,10,65536.0,14.01,2
378,2,bare-metal,10,131072.0,33.93,2
379,2,bare-metal,10,262144.0,44.07,2
380,2,bare-metal,10,524288.0,80.74,2
381,2,bare-metal,10,1048576.0,77.9,2
382,2,bare-metal,10,2097152.0,156.35,2
383,2,bare-metal,10,4194304.0,238.9,2
384,2,bare-metal,4,0.0,7.45,2
385,2,bare-metal,4,1.0,7.48,2
386,2,bare-metal,4,2.0,7.47,2
387,2,bare-metal,4,4.0,7.47,2
388,2,bare-metal,4,8.0,7.77,2
389,2,bare-metal,4,16.0,7.76,2
390,2,bare-metal,4,32.0,7.76,2
391,2,bare-metal,4,64.0,7.88,2
392,2,bare-metal,4,128.0,7.89,2
393,2,bare-metal,4,256.0,7.9,2
394,2,bare-metal,4,512.0,7.95,2
395,2,bare-metal,4,1024.0,8.04,2
396,2,bare-metal,4,2048.0,8.32,2
397,2,bare-metal,4,4096.0,8.73,2
398,2,bare-metal,4,8192.0,9.55,2
399,2,bare-metal,4,16384.0,10.15,2
400,2,bare-metal,4,32768.0,11.4,2
401,2,bare-metal,4,65536.0,13.95,2
402,2,bare-metal,4,131072.0,33.84,2
403,2,bare-metal,4,262144.0,43.89,2
404,2,bare-metal,4,524288.0,80.49,2
405,2,bare-metal,4,1048576.0,77.89,2
406,2,bare-metal,4,2097152.0,156.91,2
407,2,bare-metal,4,4194304.0,239.43,2
408,2,bare-metal,18,0.0,7.46,2
409,2,bare-metal,18,1.0,7.48,2
410,2,bare-metal,18,2.0,7.45,2
411,2,bare-metal,18,4.0,7.46,2
412,2,bare-metal,18,8.0,7.77,2
413,2,bare-metal,18,16.0,7.76,2
414,2,bare-metal,18,32.0,7.78,2
415,2,bare-metal,18,64.0,7.86,2
416,2,bare-metal,18,128.0,7.88,2
417,2,bare-metal,18,256.0,7.88,2
418,2,bare-metal,18,512.0,7.94,2
419,2,bare-metal,18,1024.0,8.03,2
420,2,bare-metal,18,2048.0,8.3,2
421,2,bare-metal,18,4096.0,8.78,2
422,2,bare-metal,18,8192.0,9.56,2
423,2,bare-metal,18,16384.0,10.14,2
424,2,bare-metal,18,32768.0,11.4,2
425,2,bare-metal,18,65536.0,14.06,2
426,2,bare-metal,18,131072.0,33.83,2
427,2,bare-metal,18,262144.0,44.05,2
428,2,bare-metal,18,524288.0,80.56,2
429,2,bare-metal,18,1048576.0,77.84,2
430,2,bare-metal,18,2097152.0,156.6,2
431,2,bare-metal,18,4194304.0,241.97,2
432,2,bare-metal,16,0.0,7.45,2
433,2,bare-metal,16,1.0,7.48,2
434,2,bare-metal,16,2.0,7.47,2
435,2,bare-metal,16,4.0,7.47,2
436,2,bare-metal,16,8.0,7.77,2
437,2,bare-metal,16,16.0,7.77,2
438,2,bare-metal,16,32.0,7.78,2
